G06050, 'not'
G42014, 'not'
G21001, 'not'
G51007, 'not'
G09002, 'not'
G06002, 'not'
G42012, 'not'
G49003, 'not'
G53010, 'not'
G17006, 'not'
G47001, 'not'
G01006, 'not'
G54003, 'not'
G37010, 'not'
G17002, 'not'
G21003, 'not'
G36020, 'not'
G17005, 'not'
G17013, 'not'
G55004, 'not'
G06004, 'not'
G27002, 'not'
G28003, 'not'
G42010, 'not'
G51005, 'not'
G17016, 'not'
G39001, 'not'
G48023, 'not'
G06029, 'not'
G35003, 'not'
G72098, 'not'
G12020, 'hot'
G36007, 'not'
G39011, 'not'
G41004, 'not'
G09001, 'not'
G06013, 'not'
G55002, 'not'
G16002, 'not'
G42016, 'not'
G06047, 'not'
G39012, 'not'
G48006, 'not'
G27001, 'not'
G39007, 'not'
G22001, 'not'
G27005, 'not'
G21005, 'not'
G45001, 'not'
G20004, 'not'
G35001, 'not'
G55003, 'not'
G12024, 'hot'
G48009, 'not'
G17011, 'not'
G28004, 'not'
G36009, 'not'
G05003, 'not'
G48008, 'not'
G12009, 'hot'
G26007, 'not'
G04006, 'not'
G42002, 'not'
G48017, 'not'
G36001, 'not'
G29004, 'not'
G36024, 'not'
G06038, 'not'
G47007, 'not'
G53008, 'not'
G17015, 'not'
G06001, 'not'
G48016, 'not'
G48030, 'not'
G06049, 'not'
G06052, 'not'
G37002, 'not'
G36012, 'not'
G26014, 'not'
G06003, 'not'
G06011, 'not'
G11098, 'not'
G29006, 'not'
G31003, 'not'
G56000, 'not'
G08007, 'not'
G36017, 'not'
G12012, 'hot'
G41003, 'not'
G17012, 'not'
G37006, 'not'
G45002, 'not'
G05004, 'not'
G42001, 'not'
G30000, 'not'
G13008, 'not'
G06044, 'not'
G25009, 'not'
G17017, 'not'
G34012, 'not'
G18003, 'not'
G25002, 'not'
G51010, 'not'
G06024, 'not'
G08004, 'not'
