G37004, 'not'
G12013, 'hot'
G45004, 'not'
G04009, 'not'
G17007, 'not'
G22004, 'not'
G12001, 'hot'
G04004, 'not'
G36021, 'not'
G48025, 'not'
G36025, 'not'
G05002, 'not'
G06042, 'not'
G48020, 'not'
G34010, 'not'
G48031, 'not'
G29003, 'not'
G06023, 'not'
G06014, 'not'
G06051, 'not'
G20001, 'not'
G29007, 'not'
G26006, 'not'
G25006, 'not'
G13001, 'not'
G39004, 'not'
G01007, 'not'
G06041, 'not'
G48021, 'not'
G48029, 'not'
G48034, 'not'
G31002, 'not'
G36004, 'not'
G06021, 'not'
G22003, 'not'
G39006, 'not'
G06022, 'not'
G06046, 'not'
G27006, 'not'
G42017, 'not'
G41002, 'not'
G36019, 'not'
G48027, 'not'
G12026, 'hot'
G37012, 'not'
