G26003, 'not'
G06019, 'not'
G06012, 'not'
G40002, 'not'
G36011, 'not'
G06043, 'not'
G53005, 'not'
G48026, 'not'
G45003, 'not'
G51003, 'not'
G20002, 'not'
G12019, 'hot'
G45007, 'not'
G12005, 'hot'
G42006, 'not'
G47002, 'not'
G37007, 'not'
G48005, 'not'
G06009, 'not'
G04005, 'not'
G29001, 'not'
G51001, 'not'
G12027, 'hot'
G53009, 'not'
G49002, 'not'
G24004, 'not'
G33002, 'not'
G21002, 'not'
G25005, 'not'
G12016, 'hot'
G10000, 'not'
G48018, 'not'
G36010, 'not'
G36018, 'not'
G13012, 'not'
G32002, 'not'
G36005, 'not'
G48036, 'not'
G15001, 'not'
G25001, 'not'
G28001, 'not'
G34003, 'not'
G13013, 'not'
G06025, 'not'
G05001, 'not'
G27008, 'not'
G26001, 'not'
G12018, 'hot'
G22005, 'not'
