G19004, 'not'
G27007, 'not'
G48004, 'not'
G47006, 'not'
G37011, 'not'
G53001, 'not'
G06033, 'not'
G54002, 'not'
G04001, 'not'
G36023, 'not'
G09003, 'not'
G39016, 'not'
G06026, 'not'
G18002, 'not'
G06048, 'not'
G13007, 'not'
G25008, 'not'
G34009, 'not'
G47005, 'not'
G25003, 'not'
G17018, 'not'
G51006, 'not'
G13010, 'not'
G37009, 'not'
G01001, 'not'
G39005, 'not'
G40001, 'not'
G32004, 'not'
G48035, 'not'
G12011, 'hot'
G18005, 'not'
G48024, 'not'
G27008, 'not'
G26001, 'not'
G12018, 'hot'
G22005, 'not'
G18001, 'not'
