G48010, 'not'
G42005, 'not'
G12023, 'hot'
G06018, 'not'
G48028, 'not'
G34008, 'not'
G48014, 'not'
G45005, 'not'
G44001, 'not'
G48033, 'not'
G01002, 'not'
G41001, 'not'
G12003, 'hot'
G08002, 'not'
G39014, 'not'
G13006, 'not'
G53002, 'not'
G39009, 'not'
G26002, 'not'
G42015, 'not'
G51002, 'not'
G26004, 'not'
G06027, 'not'
G48015, 'not'
G53004, 'not'
G06036, 'not'
G42011, 'not'
G33001, 'not'
G26011, 'not'
G36003, 'not'
G26010, 'not'
G12017, 'hot'
G39008, 'not'
G16001, 'not'
G45006, 'not'
G04007, 'not'
G06028, 'not'
G06031, 'not'
G39003, 'not'
G13009, 'not'
G37008, 'not'
G25004, 'not'
G40005, 'not'
G40003, 'not'
G18004, 'not'
