G39016, 'not'
G06026, 'not'
G18002, 'not'
G06048, 'not'
G34008, 'not'
G53002, 'not'
G39009, 'not'
G26002, 'not'
G42015, 'not'
G13007, 'not'
G41001, 'not'
G12003, 'hot'
G08002, 'not'
G39014, 'not'
G13006, 'not'
G48014, 'not'
G45005, 'not'
G44001, 'not'
G48033, 'not'
G01002, 'not'
G51011, 'not'
G36015, 'not'
G13011, 'not'
G36013, 'not'
G17018, 'not'
G53005, 'not'
G48026, 'not'
G45003, 'not'
G51003, 'not'
G29004, 'not'
G06019, 'not'
G06012, 'not'
G40002, 'not'
G36011, 'not'
G06043, 'not'
G23001, 'not'
G15002, 'not'
G47009, 'not'
G06016, 'not'
G39010, 'not'
G13014, 'not'
G06005, 'not'
G01004, 'not'
G48022, 'not'
G21006, 'not'
G34002, 'not'
G13003, 'not'
G36001, 'not'
G06037, 'not'
G06007, 'not'
G12007, 'hot'
G24008, 'not'
G55004, 'not'
G18003, 'not'
G25002, 'not'
G51010, 'not'
G06024, 'not'
G24003, 'not'
G13008, 'not'
G06044, 'not'
G25009, 'not'
G17017, 'not'
G09002, 'not'
G06002, 'not'
G42012, 'not'
G49003, 'not'
G53010, 'not'
G17006, 'not'
G47001, 'not'
G01006, 'not'
G54003, 'not'
G37010, 'not'
G48003, 'not'
G51002, 'not'
G26004, 'not'
G06027, 'not'
G48015, 'not'
G12018, 'hot'
G36016, 'not'
G42003, 'not'
G17004, 'not'
G29002, 'not'
G12006, 'hot'
G26013, 'not'
G26010, 'not'
G12017, 'hot'
G39008, 'not'
G16001, 'not'
G45006, 'not'
G36025, 'not'
G05002, 'not'
G06042, 'not'
G48020, 'not'
G06049, 'not'
G06052, 'not'
G37002, 'not'
G36012, 'not'
G26014, 'not'
G56000, 'not'
G08007, 'not'
G36017, 'not'
G12012, 'hot'
G41003, 'not'
G06003, 'not'
G06011, 'not'
G11098, 'not'
G29006, 'not'
G31003, 'not'
G34001, 'not'
G47008, 'not'
G26012, 'not'
G27004, 'not'
G06008, 'not'
G24007, 'not'
G42013, 'not'
G02000, 'not'
G19003, 'not'
G06010, 'not'
G48025, 'not'
G06036, 'not'
G42011, 'not'
G33001, 'not'
G26011, 'not'
G36003, 'not'
G04007, 'not'
G06028, 'not'
G06031, 'not'
G39003, 'not'
G18004, 'not'
G36006, 'not'
G17009, 'not'
G36002, 'not'
G32001, 'not'
G37012, 'not'
G22001, 'not'
G27005, 'not'
G21005, 'not'
G45001, 'not'
G41005, 'not'
G41002, 'not'
G36019, 'not'
G48027, 'not'
G12026, 'hot'
G19001, 'not'
G12004, 'hot'
G18009, 'not'
G06020, 'not'
G19004, 'not'
G42008, 'not'
G51008, 'not'
G54001, 'not'
G12021, 'hot'
G17010, 'not'
G27007, 'not'
G48004, 'not'
G47006, 'not'
G37011, 'not'
G17014, 'not'
G13002, 'not'
G53003, 'not'
G18007, 'not'
G48032, 'not'
G53001, 'not'
G06033, 'not'
G54002, 'not'
G04001, 'not'
G36023, 'not'
G09003, 'not'
G40004, 'not'
G23002, 'not'
G51009, 'not'
G49001, 'not'
G48010, 'not'
G17008, 'not'
G22002, 'not'
G12014, 'hot'
G12015, 'hot'
G06045, 'not'
G42005, 'not'
G12023, 'hot'
G06018, 'not'
G48028, 'not'
G28001, 'not'
G34003, 'not'
G13013, 'not'
G06025, 'not'
G05001, 'not'
G32002, 'not'
G36005, 'not'
G48036, 'not'
G15001, 'not'
G25001, 'not'
G12002, 'hot'
G25008, 'not'
G34009, 'not'
G47005, 'not'
G25003, 'not'
G53007, 'not'
G51006, 'not'
G40001, 'not'
G23001, 'not'
G13003, 'not'
G42009, 'not'
G09005, 'not'
G06039, 'not'
G37005, 'not'
G37013, 'not'
G39002, 'not'
G08001, 'not'
G35003, 'not'
G09001, 'not'
G06013, 'not'
G55002, 'not'
G16002, 'not'
G42016, 'not'
G32004, 'not'
G48035, 'not'
G12011, 'hot'
G18005, 'not'
G17002, 'not'
G35002, 'not'
G34011, 'not'
G06053, 'not'
G48019, 'not'
G27008, 'not'
G39015, 'not'
G20003, 'not'
G25007, 'not'
G36008, 'not'
G28002, 'not'
G04002, 'not'
G36027, 'not'
G24006, 'not'
G36014, 'not'
G48012, 'not'
G42004, 'not'
G06047, 'not'
G39012, 'not'
G48006, 'not'
G27001, 'not'
G48024, 'not'
G06004, 'not'
G27002, 'not'
G28003, 'not'
G42010, 'not'
G34006, 'not'
G17016, 'not'
G39001, 'not'
G48023, 'not'
G06029, 'not'
G41004, 'not'
G39013, 'not'
G47003, 'not'
G13004, 'not'
G50000, 'not'
G17001, 'not'
G01003, 'not'
